"id","gpa","hsm","hss","hse","satm","satv"
1,3.32,10,10,10,670,600
2,2.26,6,8,5,700,640
3,2.35,8,6,8,640,530
4,2.08,9,10,7,670,600
5,3.38,8,9,8,540,580
6,3.29,10,8,8,760,630
7,3.21,8,8,7,600,400
8,2,3,7,6,460,530
9,3.18,9,10,8,670,450
10,2.34,7,7,6,570,480
11,3.08,9,10,6,491,488
12,3.34,5,9,7,600,600
13,1.4,6,8,8,510,530
14,1.43,10,9,9,750,610
15,2.48,8,9,6,650,460
16,3.73,10,10,9,720,630
17,3.8,10,10,9,760,500
18,4,9,9,8,800,610
19,2,9,6,5,640,670
20,3.74,9,10,9,750,700
21,2.32,9,7,8,520,440
22,2.79,8,8,7,610,530
23,3.21,7,9,8,505,435
24,3.08,9,10,8,559,607
25,3.75,10,9,9,760,620
26,3.16,10,9,8,640,490
27,2.73,9,8,7,520,360
28,3.06,8,10,10,580,460
29,1.07,7,8,6,700,520
30,3.35,10,10,10,620,570
31,1.82,6,8,6,490,550
32,3.12,10,10,7,640,520
33,2.25,9,7,4,550,290
34,2.93,10,10,10,600,520
35,3.16,9,7,7,400,390
36,2.83,10,9,9,710,530
37,3.1,9,10,9,750,670
38,3.07,7,4,7,660,480
39,2.87,9,9,9,620,480
40,3.61,10,10,9,630,440
41,2.17,10,7,7,650,450
42,1.95,7,8,9,550,570
43,3.35,10,10,10,730,650
44,3.58,10,7,8,710,400
45,2.75,10,7,5,770,720
46,3.26,10,10,9,610,560
47,3.41,9,4,7,600,360
48,3.67,10,10,10,640,570
49,3.81,10,10,7,750,540
50,3.3,10,10,9,650,480
51,2.3,9,10,10,590,420
52,3.62,10,10,8,660,630
53,3.2,9,5,7,570,570
54,2.55,7,8,8,570,480
55,2.82,10,9,9,660,550
56,3.25,9,7,8,690,550
57,2.21,7,7,8,670,500
58,2.5,10,9,9,660,460
59,3.03,8,8,7,600,630
60,1.92,9,10,8,447,320
61,4,7,6,6,600,410
62,1.81,9,9,9,620,580
63,2.7,6,8,6,580,470
64,2.96,9,7,8,630,630
65,2.76,10,10,10,600,560
66,2.71,8,7,9,700,440
67,3.4,9,10,9,550,560
68,2.65,8,10,8,680,450
69,2.48,8,8,7,630,500
70,3.86,10,10,10,750,760
71,2.62,9,8,7,491,391
72,3.72,7,8,7,550,500
73,3.5,8,7,8,630,500
74,2.83,6,7,7,690,440
75,3.06,8,6,5,540,400
76,4,9,10,10,640,480
77,3.7,8,10,8,520,410
78,2.81,9,7,4,559,488
79,1.93,8,6,8,590,510
80,3.7,10,10,10,580,580
81,2.96,9,7,6,670,440
82,2.64,9,9,8,620,590
83,3.09,10,10,8,540,470
84,3,4,3,4,620,560
85,2.97,10,10,10,770,540
86,2.81,10,10,10,620,570
87,3.32,10,9,10,660,560
88,3.4,7,8,4,710,500
89,1.84,9,6,6,610,390
90,0.4,6,6,7,560,690
91,2.88,9,7,6,690,460
92,2.77,6,5,9,590,440
93,2.26,5,7,7,530,440
94,2.03,6,7,9,540,610
95,2.43,7,10,10,530,560
96,2.63,10,10,6,640,500
97,1.66,8,4,3,590,470
98,3.41,9,9,9,520,490
99,2.12,7,7,8,559,545
100,3.33,7,6,7,500,460
101,1.69,8,7,7,490,390
102,2.46,6,7,7,490,370
103,1.59,8,9,7,670,480
104,1.14,10,10,7,720,610
105,0.65,9,7,7,640,520
106,2.12,7,6,7,520,380
107,2.82,4,5,7,400,470
108,2.34,8,9,7,480,410
109,2.11,6,9,9,480,390
110,1.34,6,7,8,530,470
111,2.53,8,9,8,550,500
112,2.75,10,10,10,720,500
113,3.14,9,8,9,640,630
114,2.25,10,10,10,690,580
115,1,8,9,10,640,600
116,2.79,9,6,7,690,400
117,2.39,6,5,6,470,330
118,2.15,6,6,6,480,460
119,0.75,7,6,6,540,590
120,3.06,5,9,9,510,380
121,2.5,9,9,9,560,500
122,2.78,9,9,10,600,510
123,2.44,8,8,8,690,490
124,1.11,7,7,7,590,480
125,3.12,10,10,10,580,340
126,2.17,8,7,8,650,500
127,0.12,4,6,6,630,490
128,2,6,5,6,530,320
129,3.22,9,7,9,650,490
130,1.88,10,6,6,620,430
131,2.04,8,7,7,690,440
132,2.58,10,9,9,720,740
133,2.16,6,6,6,590,440
134,2.5,7,10,10,630,500
135,1.85,10,8,7,700,480
136,1.46,7,7,8,630,540
137,2.95,9,9,8,620,400
138,0.8,8,10,9,470,410
139,0.91,6,5,7,586,697
140,2.67,9,9,10,586,670
141,2.51,9,8,7,700,500
142,1.79,7,7,5,550,570
143,2.42,6,6,8,505,518
144,0.58,5,7,7,515,285
