"id","lab","condition","lang_group","rt_congruent","rt_incongruent","acc_congruent","acc_incongruent","interference","effort","difficulty","tiredness","frustration"
"S0001","Birt","depletion","English",0.4452,0.6162,0.96,0.76,0.171,4,5,6,4
"S0002","Birt","control","English",0.4797,0.8113,0.99,0.91,0.3315,7,1,1,2
"S0003","Birt","depletion","English",0.4833,0.7529,1,0.87,0.2697,6,4,1,1
"S0004","Birt","control","English",0.4999,0.7619,0.98,0.72,0.262,7,1,3,1
"S0005","Birt","depletion","English",0.5045,0.7878,1,0.86,0.2833,5,5,4,3
"S0006","Birt","depletion","English",0.5374,0.7985,1,0.9,0.2611,6,5,4,2
"S0007","Birt","control","English",0.5378,0.7551,1,0.95,0.2173,5,1,4,2
"S0008","Birt","control","English",0.5385,0.9456,1,0.95,0.407,4,3,2,2
"S0009","Birt","control","English",0.5428,0.788,1,0.82,0.2451,5,1,2,2
"S0010","Birt","control","English",0.5513,0.9772,0.99,0.83,0.426,7,1,5,1
"S0011","Birt","control","English",0.5522,0.8202,0.99,0.84,0.268,5,4,2,1
"S0012","Birt","control","English",0.5625,0.8782,1,0.95,0.3156,6,2,3,3
"S0013","Birt","control","English",0.5649,0.8609,1,0.92,0.296,5,1,1,2
"S0014","Birt","depletion","English",0.5696,0.8666,1,0.94,0.297,7,3,5,4
"S0015","Birt","depletion","English",0.5723,0.9148,1,0.8,0.3425,5,6,2,4
"S0016","Birt","control","English",0.5725,0.849,1,0.97,0.2765,6,2,2,1
"S0017","Birt","control","English",0.5752,0.9699,1,0.92,0.3947,6,1,1,1
"S0018","Birt","control","English",0.5756,0.9148,1,0.97,0.3392,3,1,3,3
"S0019","Birt","control","English",0.5834,0.9565,0.98,0.93,0.3731,5,3,2,1
"S0020","Birt","depletion","English",0.588,0.8538,1,0.97,0.2658,6,5,4,5
"S0021","Birt","depletion","English",0.5884,1.0968,1,0.92,0.5084,5,5,2,3
"S0022","Birt","control","English",0.5893,0.9284,1,0.96,0.339,5,1,1,1
"S0023","Birt","control","English",0.5898,0.9887,0.99,0.86,0.3989,4,3,5,3
"S0024","Birt","control","English",0.5931,0.9373,1,0.85,0.3442,3,2,3,1
"S0025","Birt","depletion","English",0.595,1.1104,1,0.92,0.5154,6,1,1,2
"S0026","Birt","depletion","English",0.5987,0.8632,1,0.78,0.2645,7,6,5,5
"S0027","Birt","control","English",0.5992,0.9276,0.99,0.89,0.3284,5,1,2,2
"S0028","Birt","control","English",0.6039,1.0178,0.96,0.65,0.4139,4,2,4,2
"S0029","Birt","depletion","English",0.6091,1.0669,1,0.9,0.4578,6,3,1,2
"S0030","Birt","depletion","English",0.6099,0.9627,0.99,0.9,0.3528,7,4,1,5
"S0031","Birt","depletion","English",0.6121,0.9724,0.99,0.91,0.3603,3,4,2,5
"S0032","Birt","depletion","English",0.6147,1.0338,1,0.84,0.4191,5,5,3,4
"S0033","Birt","control","English",0.619,0.8362,0.98,0.97,0.2171,6,1,6,1
"S0034","Birt","control","English",0.6228,0.9401,1,0.96,0.3173,2,1,3,4
"S0035","Birt","depletion","English",0.6287,0.9143,0.99,0.79,0.2856,5,3,5,2
"S0036","Birt","depletion","English",0.6295,1.019,1,0.98,0.3895,5,6,6,4
"S0037","Birt","depletion","English",0.6334,0.8982,1,0.84,0.2648,5,3,2,2
"S0038","Birt","depletion","English",0.6506,0.9848,1,0.91,0.3341,7,6,5,3
"S0039","Birt","depletion","English",0.653,0.9708,1,0.99,0.3177,6,5,1,4
"S0040","Birt","control","English",0.6747,0.9448,0.99,0.86,0.2701,6,2,4,3
"S0041","Birt","depletion","English",0.687,0.9654,1,0.97,0.2783,6,4,6,1
"S0042","Birt","control","English",0.6911,1.0556,1,0.97,0.3645,3,3,1,2
"S0043","Birt","depletion","English",0.6958,1.0586,1,0.97,0.3628,7,5,4,2
"S0044","Birt","control","English",0.7002,0.94,1,0.94,0.2398,5,1,3,1
"S0045","Birt","control","English",0.7119,1.1338,0.99,0.76,0.4219,6,2,6,3
"S0046","Birt","depletion","English",0.7272,0.977,1,0.96,0.2498,4,3,1,1
"S0047","Birt","control","English",0.7293,1.0068,1,0.93,0.2775,6,3,6,6
"S0048","Birt","depletion","English",0.7562,0.9908,1,0.99,0.2345,4,3,4,5
"S0049","Birt","depletion","English",0.7672,1.066,0.99,0.85,0.2988,6,6,6,7
"S0050","Birt","depletion","English",0.7698,1.0108,1,1,0.241,6,3,6,2
"S0051","Birt","depletion","English",0.7732,1.1579,0.95,0.88,0.3847,2,5,3,6
"S0052","Birt","depletion","English",0.7752,1.1294,0.99,0.94,0.3542,5,4,2,2
"S0053","Birt","depletion","English",0.78,1.1127,1,0.98,0.3327,5,2,1,1
"S0054","Birt","control","English",0.8142,1.0386,1,0.97,0.2244,3,2,3,1
"S0055","Birt","control","English",0.821,1.1284,1,0.87,0.3075,6,2,3,2
"S0056","Birt","depletion","English",0.9171,1.2053,1,0.96,0.2882,7,6,6,4
"S0057","Birt","depletion","English",0.9327,1.0286,0.99,0.9,0.0959,7,7,5,7
"S0058","Birt","control","English",0.9397,1.178,1,0.92,0.2383,5,3,4,4
"S0059","Birt","depletion","English",0.9481,1.2683,1,0.96,0.3201,4,3,2,4
"S0060","Brandt","control","NonEnglish",0.4095,0.6317,1,0.82,0.2222,6,2,5,3
"S0061","Brandt","depletion","NonEnglish",0.4144,0.6278,0.99,0.78,0.2134,5,3,1,1
"S0062","Brandt","depletion","NonEnglish",0.4305,0.7177,1,0.72,0.2872,6,2,5,2
"S0063","Brandt","depletion","NonEnglish",0.4318,0.8018,1,0.73,0.37,6,3,2,3
"S0064","Brandt","control","NonEnglish",0.4414,0.7844,1,0.83,0.343,3,2,5,4
"S0065","Brandt","depletion","NonEnglish",0.4501,0.6567,1,0.88,0.2066,6,2,4,1
"S0066","Brandt","depletion","NonEnglish",0.4518,0.7271,0.99,0.64,0.2753,4,3,3,2
"S0067","Brandt","depletion","NonEnglish",0.4539,0.7669,1,0.96,0.313,5,4,2,2
"S0068","Brandt","depletion","NonEnglish",0.4557,0.7296,1,0.77,0.274,5,5,3,4
"S0069","Brandt","control","NonEnglish",0.4567,0.7221,1,0.9,0.2654,3,2,6,3
"S0070","Brandt","depletion","NonEnglish",0.4598,0.6517,1,0.87,0.1919,3,3,4,3
"S0071","Brandt","control","NonEnglish",0.4644,0.7301,0.92,0.79,0.2656,4,3,5,5
"S0072","Brandt","control","NonEnglish",0.4764,0.6797,0.99,0.9,0.2033,3,2,3,1
"S0073","Brandt","depletion","NonEnglish",0.4793,0.7535,0.98,0.64,0.2742,5,4,5,3
"S0074","Brandt","depletion","NonEnglish",0.4847,0.7491,1,0.87,0.2643,3,5,3,2
"S0075","Brandt","control","NonEnglish",0.4857,0.6855,0.98,0.88,0.1998,2,2,6,1
"S0076","Brandt","control","NonEnglish",0.4889,0.9369,0.99,0.82,0.448,3,3,1,1
"S0077","Brandt","control","NonEnglish",0.489,0.9353,0.99,0.81,0.4463,6,2,2,2
"S0078","Brandt","depletion","NonEnglish",0.4915,0.7716,1,0.94,0.2801,6,6,6,5
"S0079","Brandt","control","NonEnglish",0.4959,0.7776,0.99,0.77,0.2817,6,2,2,1
"S0080","Brandt","depletion","NonEnglish",0.5011,0.8295,0.96,0.83,0.3283,3,4,4,2
"S0081","Brandt","control","NonEnglish",0.5034,0.7989,1,0.89,0.2955,3,2,2,2
"S0082","Brandt","depletion","NonEnglish",0.5034,0.889,1,0.8,0.3856,5,5,3,2
"S0083","Brandt","depletion","NonEnglish",0.5052,0.8175,1,0.8,0.3123,5,6,3,2
"S0084","Brandt","control","NonEnglish",0.5061,0.7139,0.99,0.87,0.2077,5,3,4,2
"S0085","Brandt","control","NonEnglish",0.5063,0.8712,1,0.88,0.3649,2,1,4,2
"S0086","Brandt","depletion","NonEnglish",0.5068,0.8224,0.99,0.95,0.3156,6,5,4,5
"S0087","Brandt","depletion","NonEnglish",0.5085,0.8227,1,0.91,0.3142,6,5,5,4
"S0088","Brandt","control","NonEnglish",0.5122,0.914,1,0.95,0.4018,6,2,7,1
"S0089","Brandt","control","NonEnglish",0.5176,0.8025,1,0.91,0.2849,3,1,4,2
"S0090","Brandt","control","NonEnglish",0.5176,0.8262,1,0.89,0.3085,5,2,4,1
"S0091","Brandt","control","NonEnglish",0.5182,0.7675,0.99,0.81,0.2494,3,2,4,2
"S0092","Brandt","control","NonEnglish",0.5231,1.1146,0.99,0.89,0.5914,6,3,5,1
"S0093","Brandt","depletion","NonEnglish",0.5232,0.8667,1,0.89,0.3435,6,6,4,6
"S0094","Brandt","control","NonEnglish",0.5248,0.7767,1,0.85,0.2519,1,1,3,1
"S0095","Brandt","control","NonEnglish",0.5285,0.8474,1,0.89,0.3189,5,3,5,4
"S0096","Brandt","control","NonEnglish",0.5311,0.9061,1,0.95,0.3749,3,2,4,5
"S0097","Brandt","depletion","NonEnglish",0.5322,0.8283,1,0.89,0.2961,5,6,5,3
