"room_temperature","distance_competitor","avg_coffee_price","floor_space","daily_revenue"
27.6,0.55,4.74,144,398
17.5,2.13,4.66,104,368
18.1,0.76,2.93,117,384
24.4,4.08,4.7,71,608
26.7,3.1,2.87,50,226
23.8,3.97,4.56,105,670
27,4.34,4,111,308
24,1.8,3.43,121,401
18.7,4.56,4.31,117,567
27.2,3.24,3.06,132,216
26.2,4.8,3.25,130,366
27,4.02,4.5,85,277
20.1,0.54,4.97,51,400
22.1,2.69,3.86,69,607
19.1,3.78,4.85,48,310
17.6,0.79,4.94,146,445
17.3,1.28,4.23,59,205
19,0.63,4.59,30,604
19.1,4.74,4.07,142,550
20.9,4,4.17,103,570
19.8,4.96,5.09,79,664
16.9,4.47,2.91,126,354
16.3,0.91,4.21,43,-5
23.5,2.94,3.45,86,580
27.3,1.68,5.22,145,255
22.3,3.16,5.35,70,602
24,1.2,4.78,46,385
22.3,4.28,3.47,59,489
21.6,1.77,3.26,116,533
17.2,0.33,3.86,131,339
27.9,1.5,2.77,125,352
24.3,1.64,4.5,50,391
21.5,0.25,5.36,122,534
21,3.64,3.64,41,450
21.8,3.92,3.97,122,623
22.2,4.58,5.22,148,599
16.5,2.74,3.31,71,189
27.1,3.07,2.55,42,141
16.5,2.76,4.07,56,77
27.2,0.34,3.41,98,118
26.8,3.61,4.29,87,346
26.1,3.21,2.66,49,282
17.1,2.55,2.87,43,71
23.1,2.74,4.31,53,470
18.1,2.79,3.65,45,410
27.9,4.03,3.16,88,109
16,3.48,3.15,134,198
26.5,0.49,4.49,80,292
21.6,1.07,4.33,67,555
20.2,0.34,4.93,142,518
