"Set_Name","Pieces","Price","Minifigures","Weight","Unique_Pieces"
"Police Patrol Car",92,9.99,1,0.15,52
"Prince Puppycorn Trike",101,9.99,3,0.15,65
"Police Bike",8,9.99,1,0.18,7
"Barbecue Burn Out",64,9.99,2,0.13,45
"Monster Truck",55,9.99,1,0.14,34
"Jet Patrol",54,9.99,2,0.14,45
"Construction Loader",88,9.99,1,0.16,50
"Stunt Team",62,9.99,2,0.1,34
"Police Dog Unit",67,9.99,2,0.12,48
"Street Sweeper",89,9.99,1,0.14,55
"Mail Plane",74,9.99,1,0.15,55
"Satellite Service Mission",84,9.99,1,0.15,52
"Forest Fire",84,9.99,1,0.13,49
"Unikitty Cloud Car",126,9.99,3,0.14,83
"Ocean Mini-Submarine",41,9.99,1,0.13,30
"Arctic Exploration Team",70,9.99,3,0.12,47
"Unikitty's Sweetest Friends EVER!",76,9.99,3,0.08,50
"Chevrolet Camaro ZL1 Race Car",198,14.99,1,0.23,81
"McLaren Senna",219,14.99,1,0.25,92
"Arctic Ice Glider",50,6.99,1,0.08,30
"The Samurai Mech",154,14.99,3,0.16,71
"Introducing Queen Watevra Wa'Nabi",115,19.99,4,0.24,82
"Ferrari F40 Competizione",198,14.99,1,0.22,72
"Monastery Training",122,9.99,2,0.13,65
"Party Time",214,19.99,4,0.27,119
"The Chicken Coop",198,19.99,1,0.36,90
"The End Battle",222,19.99,2,0.38,91
"Construction Bulldozer",126,19.99,2,0.35,81
"Snow Groomer",197,19.99,2,0.39,81
"Diving Yacht",148,19.99,2,0.34,81
"Emmet's Thricycle!",174,14.99,1,0.25,100
"Garbage Truck",90,19.99,2,0.31,52
"The Zombie Cave",241,19.99,3,0.39,88
"Rex's Rex-treme Offroader!",236,29.99,2,0.44,109
"Ice-Cream Truck",200,19.99,2,0.37,112
"Fire Truck",21,19.99,2,0.45,16
"Minnie's Birthday Party",21,19.99,1,0.36,18
"Spinjitzu Zane",109,9.99,1,0.13,21
"Safari Off-Roader",168,19.99,2,0.34,86
"Naboo Starfighter Microfighter",62,9.99,1,0.08,42
"Desert Rally Racer",75,9.99,1,0.16,45
"Bubbles Playground Showdown",144,19.99,3,0.23,92
"Benny's Space Squad",68,9.99,5,0.09,53
"Ferrari F8 Tributo",275,19.99,1,0.32,92
"Emmet and Benny's 'Build and Fix' Workshop!",117,19.99,2,0.34,73
"Battle-Ready Batman and MetalBeard",168,19.99,2,0.24,98
"Mining Power Splitter",127,19.99,1,0.26,85
"Tracer vs. Widowmaker",129,14.99,2,0.19,74
"Outrider Dropship Attack",124,14.99,3,0.18,63
"Train Bridge and Tracks",26,24.99,1,0.88,10
"Mining Team",82,9.99,4,0.13,64
"Elsa's Market Adventure",125,19.99,2,0.22,78
"Drone Chase",192,29.99,3,0.35,112
"Spider-Man Car Chase",52,9.99,2,0.16,38
"Kayak Adventure",84,9.99,1,0.15,48
"Sith Infiltrator Microfighter",92,9.99,1,0.1,45
"Dock Side Fire",97,19.99,2,0.25,63
"Fire Helicopter Response",93,29.99,3,0.25,61
"Racing Cars",190,29.99,2,0.34,101
"Ultrakatty & Warrior Lucy!",348,29.99,2,0.41,119
"Fire Chief Response Truck",201,29.99,2,0.38,98
"Rover Testing Drive",202,29.99,2,0.36,98
"2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T",478,29.99,3,0.54,159
"Hanzo vs. Genji",197,19.99,3,0.3,84
"First Order TIE Fighter Microfighter",91,9.99,1,0.11,47
"Pteranodon Escape",84,19.99,2,0.27,60
"Monster Truck",192,19.99,1,0.38,76
"Police Highway Arrest",185,29.99,2,0.33,98
"Race Boat Transporter",238,29.99,2,0.56,123
"Wild River Escape",126,19.99,2,0.23,71
"Service & Care Truck",247,19.99,1,0.35,123
"Anakin's Jedi Starfighter",247,19.99,2,0.42,111
"The Golden Dragon",171,19.99,3,0.24,74
"Race Plane",333,29.99,1,0.64,134
"Spinjitzu Jay",97,9.99,1,0.13,23
"Spinjitzu Cole",117,9.99,1,0.14,26
"Spinjitzu Nya & Wu",227,19.99,2,0.23,49
"Aragog's Lair",157,14.99,2,0.16,82
"A-Wing vs. TIE Silencer Microfighters",188,19.99,2,0.22,88
"Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY",565,29.99,2,0.73,186
"X-wing Starfighter Trench Run",132,29.99,3,0.36,65
"Spinjitzu Kai",97,9.99,1,0.13,23
"Emmet and Lucy's Visitors from the DUPLO Planet",53,29.99,2,0.8,37
"Ford Fiesta M-Sport WRC",203,14.99,1,0.24,88
"Parachute Arrest",218,39.99,4,0.48,139
"City Advent Calendar",234,29.99,8,0.39,161
"Pteranodon Chase",126,19.99,2,0.28,68
"Spider-Man Bike Rescue",235,19.99,3,0.34,98
"People Pack - Fun Fair",183,39.99,14,0.28,138
"Mars Research Shuttle",273,39.99,2,0.61,135
"Batman: The Attack of the Talons",155,19.99,3,0.34,82
"Road Repair Truck",73,9.99,1,0.15,50
"Katana V11",257,19.99,2,0.32,111
"Spider-Man vs. Scorpion Street Showdown",125,19.99,2,0.34,82
"City Advent Calendar",313,29.99,6,0.43,194
"Arctic Ice Crawler",200,24.99,1,0.34,80
"Burger Bar Fire Rescue",327,39.99,3,0.61,153
"1968 Ford Mustang Fastback",183,14.99,1,0.22,74
"Elite Praetorian Guard Battle Pack",109,14.99,4,0.12,52
"Jay's Storm Fighter",490,39.99,4,0.7,195
"Forest Tractor",174,19.99,1,0.38,77
"Mountain Police Chase",115,19.99,2,0.33,85
"Dr. Fox Laboratory",359,29.99,4,0.52,163
"Police Helicopter Chase",212,39.99,4,0.52,127
"Batman Batsub and the Underwater Clash",174,19.99,3,0.32,82
"Mojo Jojo Strikes",228,29.99,4,0.37,149
"The Skull Arena",198,19.99,2,0.42,68
"Han Solo's Landspeeder",345,29.99,2,0.42,126
"Inferno Squad Battle Pack",118,14.99,4,0.12,52
"Spider-Man: Doc Ock Diamond Heist",150,29.99,3,0.53,98
"Batman: Brother Eye Takedown",269,29.99,3,0.46,103
"Mr. Freeze Batcycle Battle",200,19.99,3,0.3,97
"Outback Adventures",225,19.99,1,0.39,103
"Jedi and Clone Troopers Battle Pack",102,14.99,3,0.13,54
"Ferrari 488 GT3 Scuderia Corsa",179,14.99,1,0.22,78
"Ambulance Helicopter",190,19.99,3,0.41,108
"LEGO Movie Maker",482,49.99,6,0.76,243
"Creative Tuning Shop",413,39.99,2,0.67,217
"Dorado Showdown",419,29.99,3,0.6,168
"Spinjitzu Lloyd vs. Garmadon",208,19.99,2,0.23,44
"Ocean Exploration Submarine",286,39.99,4,0.52,131
"Townhouse Toy Store",554,39.99,2,0.88,194
"Riverside Houseboat",396,39.99,2,0.67,157
"Rebel A-wing Starfighter",62,14.99,2,0.18,44
"Spider Mech vs. Venom",604,49.99,4,0.78,203
"1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy",481,49.99,4,0.7,187
"Garage Centre",234,49.99,4,0.62,62
"Emma's Art Stand",210,19.99,1,0.32,107
"The Hulkbuster Smash-Up",375,29.99,4,0.49,143
"Raptor Rescue Truck",85,24.99,2,0.31,56
"Throne Room Showdown",221,19.99,5,0.34,111
"Service Station",354,49.99,4,0.7,179
"TIE Fighter Attack",77,19.99,2,0.26,50
"Escape Pod vs. Dewback Microfighters",177,19.99,3,0.2,79
"Destiny's Wing",181,19.99,2,0.33,100
"Mickey's Vacation House",57,49.99,3,0.99,37
"Police Helicopter Transport",317,49.99,4,0.72,161
"D.Va & Reinhardt",455,39.99,2,0.59,161
"Pirate Ship",386,39.99,3,0.75,143
"Modular Sweet Surprises",396,39.99,3,0.72,187
"The Joker Batcave Attack",151,24.99,3,0.41,94
"Olivia's Mission Vehicle",223,19.99,1,0.32,106
"City Central Airport",376,49.99,5,0.91,170
"Spider-Man vs. Electro",29,19.99,2,0.41,22
"Drifting Diner",345,29.99,2,0.54,182
"Gentle Giants Petting Zoo",24,19.99,1,0.37,19
"Mickey's Boat",28,29.99,2,0.58,25
"Lunar Space Station",412,59.99,5,0.9,171
"Andrea's Accessories Store",294,29.99,2,0.51,128
"Thor's Weapon Quest",223,19.99,3,0.33,112
"Millennium Falcon Microfighter",92,9.99,1,0.11,48
"T. rex Tower",22,29.99,1,0.61,18
"Ahch-To Island Training",241,29.99,2,0.39,129
"Spider-Man's Spider Crawler",418,39.99,4,0.5,132
"Moloch's Landspeeder",464,39.99,2,0.65,163
"Rapunzel's Travelling Caravan",323,39.99,2,0.54,171
"Kai's Blade Cycle & Zane's Snowmobile",376,29.99,4,0.51,189
"Stygimoloch Breakout",222,29.99,2,0.46,91
"Police Monster Truck Heist",362,59.99,5,0.85,198
"Death Star Escape",329,29.99,4,0.44,110
"Mia's Tree House",351,29.99,2,0.61,151
"Steam Train",59,59.99,2,1.5,38
"Fire Plane",363,59.99,3,0.76,151
"Porsche 911 RSR and 911 Turbo 3.0",391,29.99,3,0.56,166
"Harvester Transport",358,29.99,3,0.65,166
"Hogwarts Whomping Willow",753,69.99,6,1.1,253
"Fire Station",509,69.99,4,1.17,210
"Emma's Art Studio",235,24.99,2,0.42,122
"The Flintstones",748,59.99,4,1.04,242
"Pop-Up Party Bus",1024,79.99,4,1.39,294
"The Big Race Day",648,59.99,3,0.99,252
"Central Airport",286,59.99,6,0.82,168
"Central Perk",1070,59.99,7,1.35,366
"Batman Mech vs. Poison Ivy Mech",375,39.99,4,0.55,173
"Street Race of Snake Jaguar",308,29.99,2,0.44,130
"Snoke's Throne Room",492,69.99,4,0.82,166
"Hogwarts Express",801,79.99,6,1.37,261
"Yoda's Hut",229,29.99,3,0.38,139
"Dirt Road Pursuit",297,39.99,3,0.6,140
"Emmet and Lucy's Escape Buggy!",550,49.99,4,0.78,199
"Cruising Adventures",597,59.99,3,1.19,246
"Pickup & Caravan",344,29.99,3,0.65,188
"Arctic Air Transport",277,39.99,2,0.59,113
"The Polar Igloo",278,29.99,2,0.56,95
"Watchpoint: Gibraltar",730,89.99,4,1.39,287
"Unikingdom Creative Brick Box",433,39.99,17,1.03,220
"Blue's Helicopter Pursuit",397,39.99,3,0.63,177
"Stephanie's Sports Arena",460,44.99,2,0.76,188
"Heavy Cargo Transport",310,29.99,2,0.59,161
"Caravan Family Holiday",766,69.99,3,1.37,328
"People Pack - Outdoor Adventures",164,39.99,15,0.29,128
"Mining Heavy Driller",294,49.99,3,0.78,139
"The Nether Portal",470,39.99,3,0.7,146
"T. Rex Breakout",150,49.99,3,0.67,98
"Monastery of Spinjitzu",1070,79.99,8,1.52,359
"Townhouse Pet Shop & Café",969,79.99,3,1.7,289
"Arctic Scout Truck",322,59.99,3,0.72,148
"General Grievous' Combat Speeder",157,29.99,2,0.3,76
"Sunshine Surfer Van",379,34.99,2,0.6,160
"The Ultra Dragon",951,84.99,6,1.22,262
"Donut Shop Opening",790,89.99,10,1.4,368
"Ariel's Royal Celebration Boat",380,49.99,2,0.65,156
"Mountain Arrest",303,59.99,4,0.76,168
"Modular Skate House",422,39.99,2,0.81,169
"Air Base",529,89.99,6,1.22,270
"Emma's Art Café",378,32.99,2,0.6,166
"Emmet's Dream House/Rescue Rocket!",706,69.99,4,1.14,197
"Diamond Heist",400,59.99,4,0.8,191
"AT-AP Walker",689,59.99,4,0.98,214
"Deep Space Rocket and Launch Control",837,99.99,7,1.83,308
"Downtown Fire Brigade",943,99.99,7,1.84,400
"Thanos: Ultimate Battle",674,69.99,4,1.02,190
