SubNum,Trial,Order,IDAll,IDSI,IDSD,IDSI_NoSat,SouthernnessIndividual,Healthfulness,Tastiness,Fillingness,Want,Southernness,ConsHealthy,ConsFilling,ConsTasty
1,1,1,3.7857,4,3.25,4,6,2,5,5,3,6.6709,2.2785,6.4304,6.6329
1,2,1,3.7857,4,3.25,4,6,4,4,4,1,6.4557,3.3077,5.6329,5.557
1,3,1,3.7857,4,3.25,4,5,4,4,NaN,2,5.9114,3.557,4.359,5.0886
1,4,1,3.7857,4,3.25,4,6,3,5,5,5,6.5316,2.3544,6.3291,6.1013
1,5,1,3.7857,4,3.25,4,5,4,5,5,4,6.0253,2.7468,5.2436,5.9241
1,6,1,3.7857,4,3.25,4,4,2,6,4,1,6.5949,3.9114,3.0513,6.1266
1,7,1,3.7857,4,3.25,4,6,6,6,6,6,3.2658,6.1266,5.8228,5.962
1,8,1,3.7857,4,3.25,4,5,4,4,5,1,2.4231,6.1282,4.9231,5.2179
1,9,1,3.7857,4,3.25,4,5,4,4,4,1,2.9114,4.8462,5.038,4.5696
1,10,1,3.7857,4,3.25,4,4,4,4,4,2,2.8228,4.7468,5,4.7722
1,11,1,3.7857,4,3.25,4,4,5,6,5,4,4.1013,5.7848,3.3165,5.962
1,12,1,3.7857,4,3.25,4,4,7,4,2,2,2.481,6.6456,3.4937,4.6709
1,13,1,3.7857,4,3.25,4,6,5,4,4,2,5.6329,5.0886,5.1013,3.9494
1,14,1,3.7857,4,3.25,4,4,6,4,4,1,5.4051,5.4557,4.859,4.3544
1,15,1,3.7857,4,3.25,4,6,6,6,6,3,5.7722,5.6962,5,6.0886
1,16,1,3.7857,4,3.25,4,5,4,4,4,1,4.519,4.7179,5.5513,4.9241
1,17,1,3.7857,4,3.25,4,5,4,3,3,1,5.3038,5.6582,3.9241,4.1139
1,18,1,3.7857,4,3.25,4,6,5,4,4,1,5.6835,4.7342,3.0127,6.0886
1,19,1,3.7857,4,3.25,4,5,2,4,4,1,3.1139,2.7089,5.6282,6.1392
1,20,1,3.7857,4,3.25,4,4,2,5,4,6,3.2785,2.0641,5.0759,6.0127
1,21,1,3.7857,4,3.25,4,4,4,6,6,6,1.8228,2.519,6.0759,6.3165
1,22,1,3.7857,4,3.25,4,5,3,5,5,1,2.6835,2.6835,4.0253,4.4557
1,23,1,3.7857,4,3.25,4,4,2,4,4,5,3.038,2.0253,5.0506,6.2911
1,24,1,3.7857,4,3.25,4,4,2,4,4,3,1.6962,2.3671,6.1772,6.1266
2,1,2,3.6429,3.3,4.5,2.8333,7,1,5,5,NaN,6.6709,2.2785,6.4304,6.6329
2,2,2,3.6429,3.3,4.5,2.8333,7,1,7,7,7,6.4557,3.3077,5.6329,5.557
2,3,2,3.6429,3.3,4.5,2.8333,7,1,1,4,NaN,5.9114,3.557,4.359,5.0886
2,4,2,3.6429,3.3,4.5,2.8333,6,1,7,7,5,6.5316,2.3544,6.3291,6.1013
2,5,2,3.6429,3.3,4.5,2.8333,7,1,7,7,6,6.0253,2.7468,5.2436,5.9241
2,6,2,3.6429,3.3,4.5,2.8333,7,2,7,2,7,6.5949,3.9114,3.0513,6.1266
2,7,2,3.6429,3.3,4.5,2.8333,1,7,7,7,3,3.2658,6.1266,5.8228,5.962
2,8,2,3.6429,3.3,4.5,2.8333,1,7,7,6,2,2.4231,6.1282,4.9231,5.2179
2,9,2,3.6429,3.3,4.5,2.8333,1,5,7,7,3,2.9114,4.8462,5.038,4.5696
2,10,2,3.6429,3.3,4.5,2.8333,3,3,5,7,NaN,2.8228,4.7468,5,4.7722
2,11,2,3.6429,3.3,4.5,2.8333,2,7,7,2,6,4.1013,5.7848,3.3165,5.962
2,12,2,3.6429,3.3,4.5,2.8333,1,7,7,5,2,2.481,6.6456,3.4937,4.6709
2,13,2,3.6429,3.3,4.5,2.8333,5,7,2,4,NaN,5.6329,5.0886,5.1013,3.9494
2,14,2,3.6429,3.3,4.5,2.8333,5,7,7,5,2,5.4051,5.4557,4.859,4.3544
2,15,2,3.6429,3.3,4.5,2.8333,5,7,7,5,4,5.7722,5.6962,5,6.0886
2,16,2,3.6429,3.3,4.5,2.8333,5,7,5,7,NaN,4.519,4.7179,5.5513,4.9241
2,17,2,3.6429,3.3,4.5,2.8333,2,7,4,4,2,5.3038,5.6582,3.9241,4.1139
2,18,2,3.6429,3.3,4.5,2.8333,4,6,7,1,6,5.6835,4.7342,3.0127,6.0886
2,19,2,3.6429,3.3,4.5,2.8333,4,3,7,7,4,3.1139,2.7089,5.6282,6.1392
2,20,2,3.6429,3.3,4.5,2.8333,3,1,7,7,4,3.2785,2.0641,5.0759,6.0127
2,21,2,3.6429,3.3,4.5,2.8333,1,2,6,7,NaN,1.8228,2.519,6.0759,6.3165
2,22,2,3.6429,3.3,4.5,2.8333,1,1,1,4,NaN,2.6835,2.6835,4.0253,4.4557
2,23,2,3.6429,3.3,4.5,2.8333,1,1,7,7,3,3.038,2.0253,5.0506,6.2911
2,24,2,3.6429,3.3,4.5,2.8333,1,3,7,7,6,1.6962,2.3671,6.1772,6.1266
3,1,2,3.5714,3.5,3.75,3.1667,7,3,6,6,3,6.6709,2.2785,6.4304,6.6329
3,2,2,3.5714,3.5,3.75,3.1667,6,4,5,5,3,6.4557,3.3077,5.6329,5.557
3,3,2,3.5714,3.5,3.75,3.1667,5,3,5,4,3,5.9114,3.557,4.359,5.0886
3,4,2,3.5714,3.5,3.75,3.1667,6,3,5,6,1,6.5316,2.3544,6.3291,6.1013
3,5,2,3.5714,3.5,3.75,3.1667,7,4,5,5,2,6.0253,2.7468,5.2436,5.9241
3,6,2,3.5714,3.5,3.75,3.1667,6,3,5,4,4,6.5949,3.9114,3.0513,6.1266
3,7,2,3.5714,3.5,3.75,3.1667,4,6,5,5,7,3.2658,6.1266,5.8228,5.962
3,8,2,3.5714,3.5,3.75,3.1667,3,6,5,5,6,2.4231,6.1282,4.9231,5.2179
3,9,2,3.5714,3.5,3.75,3.1667,4,5,5,5,5,2.9114,4.8462,5.038,4.5696
3,10,2,3.5714,3.5,3.75,3.1667,4,5,4,5,4,2.8228,4.7468,5,4.7722
3,11,2,3.5714,3.5,3.75,3.1667,4,7,5,4,7,4.1013,5.7848,3.3165,5.962
3,12,2,3.5714,3.5,3.75,3.1667,4,7,5,3,6,2.481,6.6456,3.4937,4.6709
3,13,2,3.5714,3.5,3.75,3.1667,6,5,5,5,4,5.6329,5.0886,5.1013,3.9494
3,14,2,3.5714,3.5,3.75,3.1667,7,6,5,5,5,5.4051,5.4557,4.859,4.3544
3,15,2,3.5714,3.5,3.75,3.1667,5,5,5,5,5,5.7722,5.6962,5,6.0886
3,16,2,3.5714,3.5,3.75,3.1667,4,6,5,5,5,4.519,4.7179,5.5513,4.9241
